id,name,age,address,cell phone,hobby
1,한춘자,70,경기도 평택시 287-5,010-9282-3412,캘리그라피
2,최연희,79,강원도 태백시 73-23,010-1776-6430,독서
3,오채원,23,경상북도 포항시 737-72,010-3580-9254,스트리트 댄스
4,송정호,41,제주시 아라동 381-4,010-4222-4850,스트리밍
5,박숙자,23,경상북도 경주시 265-24,010-6921-5676,모바일 촬영
6,황하람,74,경상남도 양산시 438-16,010-8596-5782,콜라주 아트
7,장수빈,66,제주시 이도이동 19-76,010-5707-9966,콜라주 아트
8,송만수,33,경상남도 창원시 602-90,010-2328-5958,카페 투어
9,정영수,54,경기도 오산시 92-65,010-5067-4775,디지털 일러스트
10,박정숙,57,경기도 평택시 767-75,010-7052-3327,집콕 놀이
11,이명숙,48,서울특별시 성동구 915-88,010-5265-7569,디지털 일러스트
12,윤하진,65,경기도 안산시 단원구 740-66,010-3934-5114,마인드맵 만들기
13,전하윤,63,서울특별시 관악구 807-58,010-8418-5971,미술관 관람
14,신미영,62,울산광역시 동구 193-28,010-8216-8969,요가
15,한지우,47,서울특별시 동대문구 774-38,010-7713-7529,게임
16,임도윤,35,전라남도 순천시 708-2,010-4967-6056,코딩
17,조영희,75,인천광역시 중구 359-38,010-7669-9525,펜팔
18,박말순,53,경상북도 구미시 277-18,010-8984-6092,요가
19,신정순,65,대전광역시 유성구 247-19,010-4794-2042,독서
20,안지한,74,경상남도 사천시 298-95,010-9176-8494,사진편집
21,정윤호,74,강원도 홍천군 308-47,010-8175-1713,DIY
22,한명자,66,서울특별시 마포구 582-75,010-5234-2254,낚시
23,정현철,64,광주광역시 광산구 36-4,010-9961-1430,배우기
24,서민준,54,부산광역시 연제구 203-45,010-9937-9990,자원봉사
25,윤숙자,71,인천광역시 미추홀구 438-7,010-1672-3372,드로잉
26,오성호,40,서울특별시 성동구 275-44,010-5965-2650,게임
27,강종수,29,인천광역시 남동구 23-52,010-3290-3454,캠핑
28,박정순,30,인천광역시 남동구 948-54,010-3425-6114,디지털 일러스트
29,안시우,61,경기도 안산시 상록구 948-67,010-5355-4999,수채화 그리기
30,홍정자,76,경기도 시흥시 765-1,010-9158-3537,사진편집
31,한창수,24,충청남도 천안시 920-20,010-6040-8630,자전거 타기
32,신종순,59,광주광역시 남구 908-13,010-2746-7259,웹서핑
33,권명숙,72,경상남도 밀양시 781-95,010-5329-2261,사진촬영
34,안진숙,21,인천광역시 동구 624-23,010-1202-3820,테니스
35,임영희,36,부산광역시 수영구 753-71,010-3163-2745,카페 투어
36,권하윤,54,대구광역시 동구 267-52,010-2870-8594,드로잉
37,서윤호,73,충청북도 진천군 399-6,010-7885-8263,디지털 콘텐츠 제작
38,최도윤,58,부산광역시 부산진구 792-40,010-7109-4593,자원봉사
39,조재영,61,강원도 삼척시 908-24,010-8467-4503,배우기
40,황순영,54,충청남도 논산시 737-20,010-9956-3075,웹툰 그리기
41,이철수,34,부산광역시 수영구 935-4,010-5392-7663,요리
42,송순영,37,서울특별시 강동구 109-34,010-4089-2948,여행
43,송종수,33,강원도 강릉시 79-13,010-7828-8099,배드민턴
44,박다은,35,충청남도 천안시 56-79,010-1365-2821,도예
45,박말순,25,서울특별시 도봉구 856-33,010-6255-3810,게임 방송
46,장연희,35,대구광역시 수성구 986-19,010-7057-6586,운동
47,황말순,43,인천광역시 서구 409-2,010-4058-8225,플라워 아트
48,오주영,65,충청남도 천안시 295-58,010-7747-2574,스트리트 댄스
49,황건우,34,경기도 고양시 일산동구 834-20,010-2650-6803,디지털 아트
50,장순영,40,강원도 삼척시 458-48,010-6616-1929,영화감상
51,서성자,44,서울특별시 종로구 790-28,010-4286-6494,피크닉
52,안우진,29,광주광역시 동구 199-82,010-5307-6750,스트리트 댄스
53,조지후,47,경상북도 포항시 986-67,010-7952-5821,헬로윈 파티 준비
54,한다빈,24,광주광역시 동구 218-12,010-5780-3139,펜팔
55,홍채원,60,서울특별시 양천구 821-32,010-1560-1041,미술관 관람
56,오선자,53,인천광역시 계양구 783-89,010-4665-6281,음악감상
57,오예린,79,인천광역시 미추홀구 384-34,010-8257-4216,디지털 일러스트
58,이말옥,38,충청북도 충주시 480-43,010-8401-7860,마인드맵 만들기
59,이연희,49,인천광역시 서구 344-18,010-8878-8290,모바일 촬영
60,송철수,79,서울특별시 양천구 817-76,010-2243-8066,코딩
61,김나윤,35,전라남도 나주시는 563-24,010-1450-8608,자원봉사
62,강유하,64,강원도 태백시 486-17,010-8666-3505,패션
63,황만수,22,경기도 고양시 덕양구 110-28,010-5613-5777,배드민턴
64,임미영,68,전라남도 광양시 607-75,010-4074-9669,VR 게임
65,김기영,61,경기도 안양시 동안구 760-32,010-5615-8937,캠핑
66,김은채,23,울산광역시 남구 483-52,010-9593-8187,플라워 아트
67,장진숙,23,경상남도 통영시 273-69,010-7295-3594,스트리트 댄스
68,최민준,29,강원도 삼척시 921-95,010-3254-3413,보드게임
69,오은우,37,충청남도 아산시 10-61,010-2069-2046,게임 방송
70,신시우,56,대구광역시 중구 393-83,010-1483-6522,보드게임
71,김수아,67,경상남도 양산시 659-59,010-5645-7526,VR 게임
72,전순자,54,부산광역시 금정구 469-48,010-7632-2886,미술관 관람
73,박준호,21,경기도 안산시 단원구 996-76,010-2438-6170,콜라주 아트
74,윤서아,43,부산광역시 영도구 407-58,010-9493-2550,사진촬영
